,mobile_price,mobile_color,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,p_cam,f_cam,network,battery_power,mob_width,mob_height,mob_depth,mob_weight,brand
153,21999,2,16.23,11,9.0,8,2.2,64,6,28,5,3,4000,74.3,156.7,8.8,191.0,0
154,9999,3,16.0,11,9.0,8,2.2,32,3,31,1,1,4000,75.21,159.21,8.1,186.0,0
155,13999,4,13.97,7,6.0,8,2.0,64,4,15,12,3,4100,76.0,151.0,8.4,165.0,0
156,8499,3,15.8,3,9.0,8,2.0,32,2,10,13,3,5000,90.0,175.0,9.2,186.0,0
157,8498,7,15.8,3,9.0,8,2.0,32,2,10,13,3,5000,90.0,175.0,9.2,186.0,0
158,9990,3,15.8,3,9.0,8,1.95,64,3,10,14,3,5000,75.41,156.48,9.4,191.0,0
159,9990,0,15.8,3,9.0,8,1.95,64,3,10,14,3,5000,75.41,156.48,9.4,191.0,0
160,11349,1,15.9,9,8.1,8,1.8,64,4,5,4,3,4000,76.4,157.9,8.26,181.0,0
161,16999,0,16.0,11,9.0,8,2.0,128,6,31,1,3,4000,75.21,159.21,8.1,186.0,0
162,9999,7,15.8,3,9.0,8,1.95,64,3,10,14,3,5000,75.41,156.48,9.4,191.0,0
163,19999,3,16.94,12,10.0,8,2.3,128,6,39,3,3,5020,76.68,165.75,8.8,209.0,0
164,14800,0,16.0,11,9.0,8,2.2,64,4,3,1,3,4000,75.21,159.21,8.1,186.0,0
165,13990,4,15.21,8,8.1,8,2.2,64,4,24,5,3,3010,75.4,158.7,7.3,168.0,7
166,6699,4,13.84,1,9.0,8,2.0,32,2,8,12,3,4000,70.4,146.3,9.55,165.0,0
167,8689,4,15.21,1,8.0,8,2.0,32,3,5,3,2,3080,77.26,160.73,8.1,168.0,0
168,11599,7,13.97,0,7.1,8,1.4,64,4,15,3,2,3080,76.2,153.0,7.7,154.0,0
169,7999,7,15.21,1,8.0,8,2.0,32,3,5,3,2,3080,77.26,160.73,8.1,168.0,0
170,9900,2,16.13,4,9.0,8,2.0,64,3,11,14,3,5000,76.77,159.43,8.92,190.5,1
171,10990,1,16.13,4,9.0,8,2.0,32,3,13,14,3,5000,76.77,159.43,8.92,190.5,1
172,10849,0,16.13,4,9.0,8,1.95,32,3,10,14,3,5000,76.77,159.43,8.92,190.5,1
173,16990,0,16.21,11,9.0,8,2.3,64,6,35,10,2,4500,75.23,159.53,8.13,189.6,1
174,16990,5,16.21,11,9.0,8,2.3,64,6,35,10,2,4500,75.23,159.53,8.13,189.6,1
175,18990,0,16.21,11,9.0,8,2.3,128,8,35,10,2,4500,75.23,159.53,8.13,189.6,1
176,18990,5,16.21,11,9.0,8,2.3,128,8,35,10,2,4500,75.23,159.53,8.13,189.6,1
177,12990,2,16.13,4,9.0,8,2.0,64,4,11,3,3,5000,76.77,159.43,8.92,190.5,1
178,10849,2,16.13,4,9.0,8,1.95,32,3,10,14,3,5000,76.77,159.43,8.92,190.5,1
